year,month,company,field,basin,location,concept,wells,meters,date_data
2009,1,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-01-31
2009,1,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-01-31
2009,1,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,2.0,4564.0,2009-01-31
2009,1,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-01-31
2009,1,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-01-31
2009,1,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,0.0,4133.0,2009-01-31
2009,2,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,2.0,2715.0,2009-02-28
2009,2,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-02-28
2009,2,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-02-28
2009,5,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-05-31
2009,5,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,0.0,6844.0,2009-05-31
2009,5,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-05-31
2009,7,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-07-31
2009,7,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-07-31
2009,7,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,1.0,6618.0,2009-07-31
2009,8,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,0.0,0.0,2009-08-31
2009,8,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-08-31
2009,8,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-08-31
2009,10,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-10-31
2009,10,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-10-31
2009,10,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,0.0,0.0,2009-10-31
2009,10,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-10-31
2009,10,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,2.0,6123.0,2009-10-31
2009,10,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-10-31
2009,12,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,1.0,2825.0,2009-12-31
2009,12,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,0.0,0.0,2009-12-31
2009,12,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2009-12-31
2010,1,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,1.0,2753.0,2010-01-31
2010,1,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-01-31
2010,1,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-01-31
2010,2,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,1.0,2320.0,2010-02-28
2010,2,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-02-28
2010,2,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-02-28
2010,3,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,0.0,2863.0,2010-03-31
2010,3,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-03-31
2010,3,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-03-31
2010,4,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-04-30
2010,4,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-04-30
2010,4,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,1.0,4233.0,2010-04-30
2010,6,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,1.0,2715.0,2010-06-30
2010,6,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-06-30
2010,6,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,0.0,1330.0,2010-06-30
2010,6,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-06-30
2010,6,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-06-30
2010,6,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,1.0,1410.0,2010-06-30
2010,7,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-07-31
2010,7,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-07-31
2010,7,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-07-31
2010,7,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-07-31
2010,7,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-07-31
2010,7,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,1.0,3319.5,2010-07-31
2010,7,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-07-31
2010,7,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,2.0,2774.0,2010-07-31
2010,7,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,1.0,1217.0,2010-07-31
2010,8,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-08-31
2010,8,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-08-31
2010,8,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-08-31
2010,9,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-09-30
2010,9,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-09-30
2010,9,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-09-30
2010,10,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,1.0,2540.0,2010-10-31
2010,10,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-10-31
2010,10,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-10-31
2010,10,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-10-31
2010,10,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-10-31
2010,10,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL,NEUQUINA,On Shore,Explotación,1.0,5514.0,2010-10-31
2010,11,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,NARAMBUENA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,1.0,2093.0,2010-11-30
2010,11,YPF S.A.,LOMA CAMPANA,NEUQUINA,On Shore,Exploración,0.0,2775.0,2010-11-30
2010,11,YPF S.A.,BAJADA DE AÑELO,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,SIERRA BARROSA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,RINCON DEL MANGRULLO,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-11-30
2010,11,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,NARAMBUENA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LOMA CAMPANA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,BAJADA DE AÑELO,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,SIERRA BARROSA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,RINCON DEL MANGRULLO,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-11-30
2010,11,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,0.0,3410.0,2010-11-30
2010,11,YPF S.A.,NARAMBUENA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LOMA CAMPANA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,3.0,3897.0,2010-11-30
2010,11,YPF S.A.,BAJADA DE AÑELO,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,SIERRA BARROSA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,RINCON DEL MANGRULLO,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,11,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-11-30
2010,12,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,PASO DE LAS BARDAS NORTE,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LOMA CAMPANA,NEUQUINA,On Shore,Exploración,1.0,41.0,2010-12-31
2010,12,YPF S.A.,LOMA CAMPANA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LOMA CAMPANA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Explotación,5.0,6747.0,2010-12-31
2010,12,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LOMA LA LATA,NEUQUINA,On Shore,Exploración,1.0,1153.0,2010-12-31
2010,12,YPF S.A.,BAJADA DE AÑELO,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,BAJADA DE AÑELO,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,BAJADA DE AÑELO,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,SIERRA BARROSA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,SIERRA BARROSA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,SIERRA BARROSA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,RINCON DEL MANGRULLO,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,RINCON DEL MANGRULLO,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,RINCON DEL MANGRULLO,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,NARAMBUENA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,NARAMBUENA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,NARAMBUENA,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Explotación,0.0,2053.0,2010-12-31
2010,12,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Avanzada,0.0,0.0,2010-12-31
2010,12,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,On Shore,Exploración,0.0,0.0,2010-12-31
2010,12,YPF S.A.,LAS MANADAS,NEUQUINA,On Shore,Explotación,0.0,0.0,2010-12-31
