well_id,month,year,well_name,company,field,frac_start_date,frac_end_date,lateral_length_ft,number_stages,proppant_pumped_lb,fluid_pumped_bbl,maximum_pressure_psi,horse_power_hp
159219,11,2017,YPF.Nq.AdlA-1001(h),YPF S.A.,AGUADA DE LA ARENA,2017-11-19,2017-12-14,4715.7813,18,9475941.7764,162077.8140962,15000.0,32000.0
159220,11,2017,YPF.Nq.AdlA-1002(h),YPF S.A.,AGUADA DE LA ARENA,2017-11-21,2017-12-15,4981.5423,19,9836860.1166,172330.65120318,11348.0,32000.0
159221,11,2017,YPF.Nq.AdlA-1003(h),YPF S.A.,AGUADA DE LA ARENA,2017-11-18,2017-12-15,4863.4263,19,9962556.525899999,170816.2526864,11076.0,32000.0
160426,1,2019,YPF.Nq.AdlA-1004(h),YPF S.A.,AGUADA DE LA ARENA,2019-01-17,2019-02-02,4672.144,18,9474850.489500001,163874.813956,11900.0,32000.0
160518,1,2019,YPF.Nq.AdlA-1005(h),YPF S.A.,AGUADA DE LA ARENA,2019-01-17,2019-02-03,4934.624,19,9823665.465899998,173749.821936,11750.0,32000.0
160519,1,2019,YPF.Nq.AdlA-1006(h),YPF S.A.,AGUADA DE LA ARENA,2019-01-18,2019-02-03,4934.624,19,9992418.103799999,176888.43912199998,11400.0,32000.0
160427,9,2018,YPF.Nq.AdlA-1007(h),YPF S.A.,AGUADA DE LA ARENA,2018-09-02,2018-10-01,6510.4883,25,12854268.395099998,224640.70700999998,11250.0,34000.0
160330,9,2018,YPF.Nq.AdlA-1008(h),YPF S.A.,AGUADA DE LA ARENA,2018-09-03,2018-10-02,6510.4883,25,12904269.1767,226967.93819,11350.0,34000.0
160331,9,2018,YPF.Nq.AdlA-1009(h),YPF S.A.,AGUADA DE LA ARENA,2018-09-03,2018-10-02,6510.4883,25,12924507.588299999,226521.361396,11480.0,34000.0
154744,4,2015,YPF.Nq.EOr-10(h),YPF S.A.,EL OREJANO,2015-04-21,2015-05-02,3761.3384000000005,15,7557856.237799999,97659.4260524,10936.0,28000.0
158750,9,2017,YPF.Nq.EOr-102(h),YPF S.A.,EL OREJANO,2017-09-25,2017-10-24,8089.3055,27,12336403.1571,245058.07223539997,11200.0,34000.0
158751,9,2017,YPF.Nq.EOr-103(h),YPF S.A.,EL OREJANO,2017-09-12,2017-10-10,6475.0535,25,11422499.9823,215422.984593,11530.0,34000.0
158890,9,2017,YPF.Nq.EOr-104(h),YPF S.A.,EL OREJANO,2017-09-22,2017-10-19,8551.9265,35,16667224.8237,428505.5293966,11400.0,34000.0
158891,8,2017,YPF.Nq.EOr-105(h),YPF S.A.,EL OREJANO,2017-08-26,2017-09-16,8633.951500000001,34,16163546.315399999,392989.4656642,11454.0,34000.0
158752,8,2017,YPF.Nq.EOr-106(h),YPF S.A.,EL OREJANO,2017-08-25,2017-09-20,7915.4125,31,14154487.132499998,273968.57330499997,11500.0,34000.0
159834,8,2018,YPF.Nq.EOr-157(h),YPF S.A.,EL OREJANO,2018-08-06,2018-08-18,4673.7845,18,8069173.754399999,165069.878616,11000.0,34000.0
159835,7,2018,YPF.Nq.EOr-158(h),YPF S.A.,EL OREJANO,2018-07-24,2018-08-28,4673.1283,18,8105087.014199999,170453.9594,11463.0,34000.0
159836,8,2018,YPF.Nq.EOr-160(h),YPF S.A.,EL OREJANO,2018-08-01,2018-08-15,4673.7845,18,8035839.899999999,167384.530168,11497.0,34000.0
159705,4,2018,YPF.Nq.EOr-161(h),YPF S.A.,EL OREJANO,2018-04-04,2018-05-01,6274.2563,24,11097990.9414,221183.8252356,11151.0,32000.0
159706,4,2018,YPF.Nq.EOr-162(h),YPF S.A.,EL OREJANO,2018-04-07,2018-05-02,5224.3363,20,9166413.1284,186201.1377304,11047.0,32000.0
159707,4,2018,YPF.Nq.EOr-163(h),YPF S.A.,EL OREJANO,2018-04-09,2018-05-02,6011.7763,23,10501354.6308,209985.44039,11490.0,32000.0
159708,4,2018,YPF.Nq.EOr-164(h),YPF S.A.,EL OREJANO,2018-04-13,2018-05-16,6832.0263,26,11963778.284699999,242425.78507639997,11600.0,32000.0
154187,2,2015,YPF.Nq.EOr-21(h),YPF S.A.,EL OREJANO,2015-02-09,2015-02-22,3588.7578,14,7643571.8634,108723.07610042646,10485.0,28000.0
154188,2,2015,YPF.Nq.EOr-22(h),YPF S.A.,EL OREJANO,2015-02-10,2015-04-04,3481.4691,14,6506748.5373,88781.3535914,12000.0,28000.0
155525,10,2015,YPF.Nq.EOr-27(h),YPF S.A.,EL OREJANO,2015-10-17,2015-10-29,3797.7575,15,8247152.726999999,107599.848098,10800.0,26000.0
155827,1,2016,YPF.Nq.EOr-32(h),YPF S.A.,EL OREJANO,2016-01-03,2016-01-09,2390.8647,10,4865552.247599999,76082.8481068,10641.0,26000.0
